epoch,step,train_acc,train_loss,valid_acc,valid_loss
0,73,,,0.2702702581882477,2.334080457687378
0,73,0.1317567527294159,2.434354066848755,,
1,147,,,0.2432432472705841,2.224468469619751
1,147,0.1993243247270584,2.300086736679077,,
2,221,,,0.2432432472705841,2.153764247894287
2,221,0.20945945382118225,2.2102978229522705,,
3,295,,,0.2702702581882477,2.1032848358154297
3,295,0.2060810774564743,2.15537166595459,,
4,369,,,0.2432432472705841,2.0568199157714844
4,369,0.20945945382118225,2.108584403991699,,
5,443,,,0.2702702581882477,2.0351970195770264
5,443,0.2060810774564743,2.0841445922851562,,
6,517,,,0.2702702581882477,2.014376401901245
6,517,0.20270270109176636,2.063464403152466,,
7,591,,,0.2432432472705841,2.005617380142212
7,591,0.2060810774564743,2.0440895557403564,,
8,665,,,0.2432432472705841,1.9862258434295654
8,665,0.20945945382118225,2.028336524963379,,
9,739,,,0.2432432472705841,1.9785733222961426
9,739,0.21621622145175934,2.018862247467041,,
10,813,,,0.2432432472705841,1.9690803289413452
10,813,0.20945945382118225,2.0112693309783936,,
11,887,,,0.2432432472705841,1.9585022926330566
11,887,0.21621622145175934,2.007097005844116,,
12,961,,,0.2432432472705841,1.953883409500122
12,961,0.23310810327529907,1.9918873310089111,,
13,1035,,,0.29729729890823364,1.9483044147491455
13,1035,0.20945945382118225,1.994585394859314,,
14,1109,,,0.29729729890823364,1.947422742843628
14,1109,0.22972972691059113,1.9831314086914062,,
15,1183,,,0.29729729890823364,1.9384742975234985
15,1183,0.22972972691059113,1.982421636581421,,
16,1257,,,0.29729729890823364,1.9476693868637085
16,1257,0.24662162363529205,1.9842760562896729,,
17,1331,,,0.29729729890823364,1.940429925918579
17,1331,0.20945945382118225,1.9819432497024536,,
18,1405,,,0.29729729890823364,1.931038498878479
18,1405,0.21959459781646729,1.9789111614227295,,
19,1479,,,0.29729729890823364,1.9345247745513916
19,1479,0.21959459781646729,1.9760326147079468,,
20,1553,,,0.29729729890823364,1.9310576915740967
20,1553,0.22297297418117523,1.9702478647232056,,
21,1627,,,0.29729729890823364,1.9262664318084717
21,1627,0.23310810327529907,1.9667177200317383,,
22,1701,,,0.29729729890823364,1.921229600906372
22,1701,0.21959459781646729,1.9664372205734253,,
23,1775,,,0.29729729890823364,1.9200383424758911
23,1775,0.23986487090587616,1.9681408405303955,,
24,1849,,,0.29729729890823364,1.9174296855926514
24,1849,0.23648647964000702,1.96210515499115,,
25,1923,,,0.29729729890823364,1.9196358919143677
25,1923,0.22972972691059113,1.9628804922103882,,
26,1997,,,0.29729729890823364,1.918429970741272
26,1997,0.23310810327529907,1.9570549726486206,,
27,2071,,,0.29729729890823364,1.9148098230361938
27,2071,0.25,1.9520542621612549,,
28,2145,,,0.29729729890823364,1.9113320112228394
28,2145,0.2432432472705841,1.9623370170593262,,
29,2219,,,0.3513513505458832,1.9188975095748901
29,2219,0.22972972691059113,1.9509028196334839,,
30,2293,,,0.37837839126586914,1.9135804176330566
30,2293,0.25,1.9503329992294312,,
31,2367,,,0.3513513505458832,1.9194674491882324
31,2367,0.23986487090587616,1.9551645517349243,,
32,2441,,,0.37837839126586914,1.9091161489486694
32,2441,0.25337839126586914,1.9485538005828857,,
33,2515,,,0.3513513505458832,1.9107420444488525
33,2515,0.25,1.9565497636795044,,
34,2589,,,0.4054054021835327,1.9014179706573486
34,2589,0.24662162363529205,1.9447776079177856,,
35,2663,,,0.4054054021835327,1.903900384902954
35,2663,0.23648647964000702,1.9480341672897339,,
36,2737,,,0.4054054021835327,1.9022200107574463
36,2737,0.2804054021835327,1.9475620985031128,,
37,2811,,,0.3513513505458832,1.9007819890975952
37,2811,0.23648647964000702,1.9441171884536743,,
38,2885,,,0.4054054021835327,1.9006681442260742
38,2885,0.25,1.9400287866592407,,
39,2959,,,0.3513513505458832,1.9056636095046997
