epoch,step,train_acc,train_loss,valid_acc,valid_loss
0,39,,,0.0,5.932507038116455
0,39,0.0,6.005787372589111,,
1,79,,,0.0,5.841621398925781
1,79,0.0,5.921527862548828,,
2,119,,,0.0,5.7392144203186035
2,119,0.01886792480945587,5.8218278884887695,,
3,159,,,0.05263157933950424,5.641364574432373
3,159,0.03773584961891174,5.744836807250977,,
4,199,,,0.10526315867900848,5.548910617828369
4,199,0.08805031329393387,5.627295970916748,,
5,239,,,0.15789473056793213,5.459685325622559
5,239,0.2075471729040146,5.5412821769714355,,
6,279,,,0.21052631735801697,5.347385406494141
6,279,0.24528302252292633,5.432870864868164,,
7,319,,,0.21052631735801697,5.238150119781494
7,319,0.276729553937912,5.3476176261901855,,
8,359,,,0.2631579041481018,5.1365532875061035
8,359,0.2641509473323822,5.246565341949463,,
9,399,,,0.2631579041481018,5.060328483581543
9,399,0.3207547068595886,5.145318031311035,,
10,439,,,0.31578946113586426,4.936583042144775
10,439,0.2704402506351471,5.059416770935059,,
11,479,,,0.31578946113586426,4.854280948638916
11,479,0.2641509473323822,4.955264568328857,,
12,519,,,0.2631579041481018,4.768060207366943
12,519,0.28930819034576416,4.85490083694458,,
13,559,,,0.4736842215061188,4.647411346435547
13,559,0.30188679695129395,4.773370265960693,,
14,599,,,0.42105263471603394,4.554352760314941
14,599,0.3396226465702057,4.676482200622559,,
15,639,,,0.4736842215061188,4.478957653045654
15,639,0.3899371027946472,4.56253719329834,,
16,679,,,0.31578946113586426,4.361029148101807
16,679,0.3836477994918823,4.450599670410156,,
17,719,,,0.3684210479259491,4.245458602905273
17,719,0.37106919288635254,4.3602190017700195,,
18,759,,,0.3684210479259491,4.1783928871154785
18,759,0.3459119498729706,4.300225257873535,,
19,799,,,0.42105263471603394,4.079265594482422
19,799,0.37735849618911743,4.173285961151123,,
20,839,,,0.4736842215061188,3.927811861038208
20,839,0.36477985978126526,4.082447052001953,,
21,879,,,0.42105263471603394,3.8627254962921143
21,879,0.3899371027946472,3.9769203662872314,,
22,919,,,0.42105263471603394,3.776156425476074
22,919,0.37735849618911743,3.8819541931152344,,
23,959,,,0.4736842215061188,3.6558167934417725
23,959,0.3836477994918823,3.7910850048065186,,
24,999,,,0.5263158082962036,3.5717873573303223
24,999,0.3836477994918823,3.692413091659546,,
25,1039,,,0.4736842215061188,3.493396043777466
25,1039,0.3836477994918823,3.6130101680755615,,
26,1079,,,0.4736842215061188,3.4119439125061035
26,1079,0.42767295241355896,3.5288374423980713,,
27,1119,,,0.5263158082962036,3.320298433303833
27,1119,0.36477985978126526,3.4561614990234375,,
28,1159,,,0.42105263471603394,3.2420451641082764
28,1159,0.3836477994918823,3.3588547706604004,,
