epoch,step,train_acc,train_loss,valid_acc,valid_loss
0,89,,,0.22727273404598236,2.313758611679077
0,89,0.1309192180633545,2.3869478702545166,,
1,179,,,0.3181818127632141,2.2295539379119873
1,179,0.17827297747135162,2.3124570846557617,,
2,269,,,0.34090909361839294,2.167038917541504
2,269,0.22562673687934875,2.2414417266845703,,
3,359,,,0.3636363744735718,2.109152317047119
3,359,0.27855151891708374,2.1893746852874756,,
4,449,,,0.3636363744735718,2.061943292617798
4,449,0.261838436126709,2.14862322807312,,
5,539,,,0.34090909361839294,2.0133485794067383
5,539,0.3426183760166168,2.09999942779541,,
6,629,,,0.3863636255264282,1.9751601219177246
6,629,0.320334255695343,2.073659658432007,,
7,719,,,0.3863636255264282,1.95586359500885
7,719,0.35654595494270325,2.0396690368652344,,
8,809,,,0.40909090638160706,1.9138413667678833
8,809,0.35933148860931396,2.0142037868499756,,
9,899,,,0.3636363744735718,1.882630467414856
9,899,0.3760445713996887,1.9836585521697998,,
10,989,,,0.3863636255264282,1.8605949878692627
10,989,0.37883007526397705,1.9667047262191772,,
11,1079,,,0.4545454680919647,1.842170238494873
11,1079,0.4038997292518616,1.9378187656402588,,
12,1169,,,0.4318181872367859,1.8107562065124512
12,1169,0.4038997292518616,1.928052306175232,,
13,1259,,,0.4318181872367859,1.7865490913391113
13,1259,0.4401114284992218,1.8995157480239868,,
14,1349,,,0.4318181872367859,1.7651896476745605
14,1349,0.44289693236351013,1.8859174251556396,,
15,1439,,,0.5227272510528564,1.7390996217727661
15,1439,0.470752090215683,1.8624553680419922,,
16,1529,,,0.5454545617103577,1.7171584367752075
16,1529,0.46796658635139465,1.854386568069458,,
17,1619,,,0.5227272510528564,1.705241084098816
17,1619,0.47910863161087036,1.8364617824554443,,
18,1709,,,0.5681818127632141,1.6867069005966187
18,1709,0.4846796691417694,1.8185285329818726,,
19,1799,,,0.5454545617103577,1.6677371263504028
19,1799,0.49860724806785583,1.8059481382369995,,
20,1889,,,0.5909090638160706,1.6389145851135254
20,1889,0.515320360660553,1.7741814851760864,,
21,1979,,,0.5454545617103577,1.6335091590881348
21,1979,0.5348189473152161,1.772269368171692,,
22,2069,,,0.5681818127632141,1.5953391790390015
22,2069,0.543175458908081,1.7484151124954224,,
23,2159,,,0.5909090638160706,1.5869265794754028
23,2159,0.5571030378341675,1.7415802478790283,,
24,2249,,,0.5909090638160706,1.574387788772583
24,2249,0.5208913683891296,1.7385964393615723,,
25,2339,,,0.6136363744735718,1.5574415922164917
25,2339,0.5766016840934753,1.6977059841156006,,
26,2429,,,0.5909090638160706,1.5299049615859985
26,2429,0.5543175339698792,1.7268900871276855,,
27,2519,,,0.6136363744735718,1.506679654121399
27,2519,0.5598886013031006,1.6858501434326172,,
28,2609,,,0.6136363744735718,1.4958633184432983
28,2609,0.5654596090316772,1.6748300790786743,,
29,2699,,,0.6136363744735718,1.4782732725143433
29,2699,0.573816180229187,1.6521646976470947,,
30,2789,,,0.6590909361839294,1.4667248725891113
30,2789,0.582172691822052,1.6416701078414917,,
31,2879,,,0.6590909361839294,1.4359667301177979
31,2879,0.582172691822052,1.6279679536819458,,
32,2969,,,0.6590909361839294,1.4181991815567017
32,2969,0.6044568419456482,1.6111154556274414,,
33,3059,,,0.6590909361839294,1.4119714498519897
